Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Bar Caffe 'Di Dragoni Dragoni Rosella;Gubbio;Piazza dei Quaranta Martiri;075 927 3448;05:45 - 01:00;05:45 - 01:00;;;05:45 - 01:00;05:45 - 01:00;05:45 - 01:00
Le Logge Antico Caffè Bistrot;Gubbio;Piazza dei Quaranta Martiri, 40;338 254 3893;;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Martintempo Lounge Bar;Gubbio;Via Baldassini, 42;075 927 1400;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;18:30 - 02:00;18:30 - 03:00;18:30 - 03:00;18:30 - 02:00
Caffè del Teatro;Gubbio;Viale Teatro Romano, 12;333 688 0850;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30;07:30 - 21:30
Bar Ducale - il Bar di Don Matteo;Gubbio;Piazza Grande, 5;075 922 0157;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
7000 Caffe;Gubbio;Piazza dei Quaranta Martiri, 16;366 275 5755;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;;09:00 - 02:00;09:00 - 02:00;10:00 - 22:00
Fusion Cafè - Cocktail Bar & Cucina;Gubbio;Via Gioia, 3;331 289 2753;12:00 - 23:00;12:00 - 03:00;12:00 - 03:00;12:00 - 03:00;12:00 - 03:00;12:00 - 03:00;12:00 - 03:00
Bar Contessa Gubbio;Gubbio;Str. Contessa, 4;075 927 4244;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00
Bar Moderno;Gubbio;Via Giosuè Carducci, 66;075 922 0692;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;07:30 - 00:00;
Baretto;Gubbio;Via del Bottagnone;379 135 5416;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;02:00 - 20:00;
Bar Europa;Gubbio;Via Giacomo Matteotti, 61;075 927 4526;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 02:00;05:00 - 02:00;05:00 - 02:00
Bar Madonna del Ponte;Gubbio;Via Tifernate, 126;075 927 7771;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Caffè San Marco;Gubbio;Località S. Marco;075 922 2405;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;06:00 - 00:00;06:00 - 00:00
Bar del Giardino Sospeso;Gubbio;Via Galeotti, 42;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Le Due Rose;Gubbio;Via Michelangelo, 7;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Della Stazione;Gubbio;Largo Resistenza, 1;075 927 4411;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;05:30 - 22:00;05:30 - 23:00;05:30 - 23:00;
Bar Del Ceraiolo;Gubbio;Viale Leonardo Da Vinci, 8;333 113 1688;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Pasticceria Gli Angeli;Gubbio;Via Tifernate, 204;075 927 3055;05:00 - 20:00;05:00 - 20:00;;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;02:00 - 20:00
Cubo Bar;Gubbio;Piazza dei Quaranta Martiri, 61;N/A;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;
Il Quadrifoglio;Gubbio;Via Madonna di M. Piano, 22;075 571 9675;07:30 - 22:45;07:30 - 22:45;07:30 - 22:45;07:30 - 22:45;07:30 - 22:45;07:30 - 22:45;07:30 - 22:45
Bar Trepiú;Gubbio;Via Leonardo da Vinci, 93;075 374 3773;06:00 - 20:30;06:00 - 20:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 13:00, 17:00 - 22:30
Bar Denise;Gubbio;Piazza Gian Lorenzo Bernini, 6;075 761 1015;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;
Bar de Arduino;Gubbio;Via Europa, 43;333 465 1613;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;04:00 - 13:00
Caffè Firenze;Gubbio;Via Beniamino Ubaldi, 28C;075 925 2213;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;
Bar Fontevole;Gubbio;Via di Fontevole, 52;075 922 0213;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 00:00;06:00 - 23:00;06:00 - 00:00
Il nuovo Bar dello Sport;Gubbio;Via Campo di Marte, 12;075 900 6340;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 22:00;09:00 - 20:00
Vineria Dei Re;Gubbio;Via Camillo Benso Conte di Cavour, 13;333 358 2157;17:00 - 00:00;17:00 - 01:00;17:00 - 01:00;17:00 - 01:00;17:00 - 01:00;12:00 - 15:30, 17:00 - 13:00;12:00 - 15:30, 17:00 - 13:00
Bar New York;Gubbio;Via Assisana, 55;075 927 2296;05:00 - 21:30;05:00 - 21:30;;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30
PUB;Gubbio;Via P. da Palestrina, 18;075 808 9632;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 22:00;08:00 - 22:00;
Bar Mg di Carnevali Mafalda;Lisciano Niccone;Piazza Centrale, 62;075 844135;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30;07:30 - 20:30
La Meglio Gioventù Café;Magione;Piazzale Giacomo Matteotti, 28;349 297 4623;17:00 - 01:00;17:00 - 01:00;17:00 - 01:00;17:00 - 01:00;17:00 - 03:00;17:00 - 03:00;17:00 - 01:00
Coffee Break;Magione;Via Frà Filippo Longo, 16;N/A;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;
Bar Dei Molini di Luisanna e Paolo Battistini;Magione;Via dei Molini, 1;075 840719;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00
BAR SANT'ARCANGELO;Magione;Via della Sapienza, 127;075 848258;07:00 - 21:30;07:00 - 21:30;07:00 - 21:30;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
Dream Caffè;Magione;Via dei Molini, 62;075 374 0910;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;
Bar Terradura;Magione;Via Forma Nuova, 51;075 843601;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;06:30 - 22:00;07:00 - 23:00
Cancelloni Giovannella;Magione;Via Caserino, 39;075 843660;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00
Acqua Dolce Lounge Bar;Magione;Via dell' Università, 13 Loc, Monte del Lago PG;345 046 7983;;;;;05:30 - 22:00;04:00 - 22:00;04:00 - 22:00
Dolci & Tradizioni - Magione;Magione;Via Caserino, 62;075 372 4066;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 14:00
Gelateria SottoZero Magione;Magione;piazza della repubblica, 5;075 840787;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Passage BDM;Magione;Corso Raffaele Abate Marchesi, 5;N/A;10:00 - 13:00, 17:00 - 21:00;10:00 - 13:00, 17:00 - 21:00;10:00 - 13:00, 17:00 - 21:00;10:00 - 13:00, 17:00 - 21:00;10:00 - 13:00, 17:00 - 21:00;10:00 - 13:00, 17:00 - 21:00;
Bar dello Sport;Magione;Via Adolfo Consolini, 1;N/A;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;06:00 - 19:30;
Caffè Centrale;Marsciano;Viale della Vittoria;075 874 2087;06:30 - 01:00;;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:30;06:30 - 01:00
Corner Kafé;Marsciano;Via Caduti sul Lavoro, 2/g;075 874 3763;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 21:00;07:00 - 21:00;07:30 - 13:00, 16:00 - 20:30
Caffè Cristal;Marsciano;Via A. Marabini, 4;342 678 0676;ND;ND;ND;ND;ND;ND;ND
Smile Bar;Marsciano;Via Lenin, 36;075 874 8336;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 00:00
Ladies Café;Marsciano;Viale della Vittoria, 23;339 868 0845;07:00 - 14:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 20:30;07:00 - 13:00, 16:00 - 21:00;07:00 - 13:00, 16:00 - 21:00
Bar La Corte;Marsciano;Piazza Giuseppe Fornasa, 8;075 874 3922;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
CIVICO 375;Marsciano;SP375;075 997 9245;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00;05:00 - 01:00
Twins' Bar;Marsciano;Via Tuderte;N/A;06:30 - 21:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
Bar Ferretti Di Ferretti Dino;Marsciano;Piazza Polimanti, 6;N/A;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 13:00, 14:00 - 19:30;05:00 - 13:00, 14:00 - 19:30
MA-MA Bar Tabacchi;Marsciano;Via Tuderte, 43;075 874 5587;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;06:30 - 21:30;
Bar Desiree' di Piccinin Maria Paola e C. Snc;Marsciano;Viale Vittorio Veneto, 5;075 878 4279;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Museum Cafe' S.A.S.;Marsciano;Via XX Settembre, 1;075 874 2826;07:00 - 22:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Pasticceria Bar Cerquiglini;Marsciano;Piazza Carlo Marx;075 874 9777;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 13:00
Bar Il Corso;Marsciano;Corso Vittorio Emanuele;351 963 2779;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;07:30 - 18:30;
Dream Group Di Burioli Marcello & C Snc;Marsciano;Viale della Resistenza, 31;075 874 9067;;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30;05:00 - 20:30
Gelateria Stefania;Marsciano;Via Umberto I, 45;075 874 3215;14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00;07:30 - 13:00, 14:00 - 00:00
Bar Centrale;Massa Martana;Piazza Umberto I, 30;075 889739;06:30 - 02:00;06:30 - 02:00;;06:30 - 02:00;06:30 - 02:00;07:00 - 02:00;07:00 - 02:00
Caffe' Della Stazione;Massa Martana;Via Stazione, 121;075 894 4494;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00
Caffè Centrale;Monte Castello di Vibio;Piazza Vittorio Emanuele II, 9;075 621 8938;07:00 - 20:00;;07:00 - 20:00;07:00 - 23:00;07:00 - 00:00;07:00 - 00:00;08:00 - 23:00
Bar Il Pretino;Monte Santa Maria Tiberina;Via Dello Sport, 53;075 850 2088;;08:00 - 13:00, 16:00 - 20:00;08:00 - 13:00, 16:00 - 20:00;08:00 - 13:00, 16:00 - 00:00;08:00 - 13:00, 16:00 - 20:00;08:00 - 13:00, 16:00 - 00:00;08:00 - 13:00, 16:00 - 00:00
Bar Caffè Del Corso;Montefalco;Corso Goffredo Mameli, 61;0742 459757;06:00 - 03:00;06:00 - 03:00;06:00 - 03:00;06:00 - 03:00;06:00 - 03:00;06:00 - 03:00;06:00 - 03:00
Pasticceria Beddini;Montefalco;Largo Bruno Buozzi, 4A;0742 378209;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00;06:30 - 14:00, 15:30 - 21:00
Bottega del Bove - Tenuta di Saragano Shop;Montefalco;Via Ugo Foscolo, 11;0742 550553;10:00 - 13:00, 16:00 - 19:00;10:00 - 13:00, 16:00 - 19:00;;10:00 - 13:00, 16:00 - 19:00;10:00 - 13:00, 16:00 - 19:00;10:00 - 19:00;10:00 - 19:00
Tordoni Bar Tabaccheria;Montefalco;Via Ugo Foscolo, 46;0742 378594;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Bar Coccinella sas;Montefalco;Via Ugo Foscolo, 5;N/A;ND;ND;ND;ND;ND;ND;ND
Bar e B&B “Il Leone dell’Appennino” di Vannozzi Roberto;Monteleone di Spoleto;Corso Vittorio Emanuele, 22;328 277 5733;07:00 - 21:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
The Snail S.N.C. Of Catozzi Daniele & C.;Monteleone di Spoleto;Via Sandro Pertini, 91, Spoleto PG;0743 277306;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;05:30 - 20:30;
Benzi Bar Di Rosati Giulio;Monteleone di Spoleto;Ruscio, Province of Perugia;0743 297832;07:00 - 23:00;08:00 - 00:00;08:00 - 23:30;07:00 - 23:00;08:00 - 00:00;08:00 - 23:30;08:00 - 00:00
Caffè Tropicana Snc;Monteleone di Spoleto;Via Martiri del Lavoro, 4, Madonna di Baiano PG;0743 53116;05:15 - 14:00;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:30;05:15 - 00:00
Caffè degli Artisti;Monteleone di Spoleto;Piazza del Mercato, 32, Spoleto PG;0743 225071;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00;07:00 - 03:00
5.6 caffè del corso;Monteleone di Spoleto;Corso G. Mazzini, 11, Spoleto PG;0743 44715;06:30 - 20:30;06:30 - 20:30;;06:30 - 20:30;06:30 - 20:30;06:30 - 20:30;
Caffé dei Tigli;Monteleone di Spoleto;Largo dei Tigli, 7, Spoleto PG;0743 671048;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;04:00 - 16:00;
Caffe' dello Sport;Monteleone di Spoleto;Viale Trento e Trieste, 78, Spoleto PG;0743 47796;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;
Pasticceria bar Vincenzo Spoleto;Monteleone di Spoleto;Via Cerquiglia, Spoleto PG;0743 220498;;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00
Caffè Carlini;Monteleone di Spoleto;Via Gioviano Pontano, 38, Spoleto PG;347 712 8442;ND;ND;ND;ND;ND;ND;ND
Bar Antico Caffè;Monteleone di Spoleto;Piazza del Mercato, 2, Spoleto PG;N/A;06:30 - 01:00;06:30 - 02:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00;06:30 - 01:00
Art Cafè Spoleto;Monteleone di Spoleto;Corso G. Mazzini, 43, Spoleto PG;0743 420324;;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30;07:45 - 21:30
Pizza and Bakery "Il Mugnaio";Montone;SP201;366 893 2106;07:00 - 14:00;07:00 - 14:00;;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00;07:00 - 23:00
L'Infernaccio;Montone;Via Sant'Albertino, 2;N/A;ND;ND;ND;ND;ND;ND;ND
Gran Caffè Nocera Umbra;Nocera Umbra;via S.Felicissimo, 2a;340 552 0303;07:30 - 14:30, 16:30 - 20:00;07:30 - 14:30, 16:30 - 20:00;07:30 - 14:30, 16:30 - 20:00;07:30 - 14:30, 16:30 - 20:00;07:30 - 14:30, 16:30 - 20:00;07:30 - 14:30, 16:30 - 20:00;
Bar Redi;Nocera Umbra;Piazza Vincenzo Blasi, 3;0742 812010;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00;06:00 - 01:00
Bar Tre Archi;Nocera Umbra;Piazza Umberto I, 20;0742 830080;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00
Bar On The Road;Nocera Umbra;Vocabolo Parrano, 2;0742 81632;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;
Bar Caffe Tancredi Di Rendina Alberto;Norcia;Corso Sertorio;328 477 1846;07:00 - 21:00;;07:00 - 21:00;07:00 - 21:00;07:00 - 00:00;07:00 - 00:00;07:00 - 21:00
D’Angelisa Bar & Bistrò;Norcia;Piazza S. Benedetto;N/A;ND;ND;ND;ND;ND;ND;ND
Bar delizia;Norcia;Corso Sertorio, 56;N/A;;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00;08:00 - 00:00
Via Vai Caffè;Norcia;Circonvallazione di;N/A;06:30 - 21:50;06:30 - 21:00;06:30 - 21:00;06:30 - 21:00;07:00 - 22:00;06:30 - 21:00;07:00 - 22:00
Bar Roma;Norcia;Via Meggiana, 2;0743 299691;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;
Caffé Parigi;Norcia;Via Circonvallazione, 66;377 142 0718;05:00 - 22:00;05:00 - 22:00;;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00
Bakery Del Teatro;Norcia;Via della Stazione, 15;338 487 9826;06:00 - 13:30, 15:00 - 18:00;06:00 - 13:30, 15:00 - 18:00;06:00 - 13:30, 15:00 - 18:00;06:00 - 13:30, 15:00 - 18:00;06:00 - 13:30, 15:00 - 18:30;06:00 - 13:00, 15:00 - 18:30;06:00 - 13:00
Bar Bramont S.R.L.;Norcia;Via della Stazione, 10;0743 828547;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00
Echoes café;Paciano;Viale Roma, 18;351 906 3111;06:30 - 23:00;06:30 - 23:00;06:30 - 23:00;06:30 - 23:30;06:30 - 00:00;06:30 - 00:00;06:30 - 23:30
DivinPeccato Cafè;Paciano;Via Francesco Mario Sensini, 49;347 156 2289;07:00 - 00:00;07:00 - 00:00;;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Echoes café Tavernelle;Panicale;Viale della Resistenza, 27;N/A;06:00 - 22:00;06:00 - 22:00;;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Bar Centrale;Panicale;Piazza Giuseppe Mazzini, 21, Tavernelle PG;075 832575;06:30 - 00:00;;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00;06:30 - 00:00
Bar la pergola dolce passione - Olmini;Panicale;Via Olmini, 6;075 837251;ND;ND;ND;ND;ND;ND;ND
IQOS PARTNER - Tabacchi Enoteca del Maresciallo, Panicale;Panicale;Via XXV Aprile, 26, Tavernelle PG;075 835 5842;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;05:00 - 21:30;
Dolci e Tradizioni;Panicale;Viale della Libertà, 1;393 374 1639;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00
Caffé Della Sosta;Passignano sul Trasimeno;Via Perugina, 12;075 829536;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00
Bar Italia Passignano sul Trasimeno;Passignano sul Trasimeno;Viale Roma, 13;075 829311;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 00:00;05:30 - 01:00;05:30 - 01:00;06:00 - 00:00
Marylebone bar&coffee;Passignano sul Trasimeno;Province of Perugia;327 751 2792;06:30 - 22:30;06:30 - 22:30;06:30 - 22:30;06:30 - 22:30;06:30 - 22:30;06:30 - 22:30;06:30 - 22:30
Bar del Sole;Passignano sul Trasimeno;Via Aganoor Pompili, 49;340 504 5309;ND;ND;ND;ND;ND;ND;ND
Caffè Fortebraccio;Perugia;Piazza Braccio Fortebraccio;328 273 5898;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30
L'Angolo del Caffè;Perugia;Via della Madonna Alta, 121;346 247 5364;06:00 - 19:00;06:00 - 19:00;06:00 - 19:00;06:00 - 19:00;06:00 - 22:00;06:00 - 13:00;
Caffè Desio;Perugia;Via Fuori le Mura, 1b;392 822 5047;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00;07:30 - 02:00;
Blitz Caffè;Perugia;Corso Pietro Vannucci, 99;075 862 6090;08:00 - 01:30;;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30;08:00 - 01:30
Bar Pasticceria La Nuit d’Or;Perugia;Via Orazio Tramontani, 52;338 639 0577;06:00 - 20:00;06:00 - 02:30;06:00 - 02:30;06:00 - 02:30;06:00 - 04:00;06:00 - 13:00, 16:00 - 16:00;07:00 - 13:00, 16:00 - 14:30
Poggio Café;Perugia;Via S. Francesco, 5;331 299 3456;07:00 - 21:30;07:00 - 21:30;07:00 - 21:30;07:00 - 21:30;07:00 - 00:00;07:00 - 00:00;09:00 - 21:00
Agraria caffè;Perugia;Borgo XX Giugno, 74;N/A;07:30 - 15:30;07:30 - 15:30;07:30 - 15:30;07:30 - 15:30;07:30 - 15:30;;
B&B Caffé Pasticceria;Perugia;Via Annibale Vecchi, 52;075 45247;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:30 - 14:00
Iron cafè;Perugia;Via Settevalli, 552;329 071 7191;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 22:00;06:00 - 00:00;06:30 - 23:00;
White caffè;Perugia;Via Gerardo Dottori, 56;075 528 7151;24H;24H;24H;24H;24H;24H;24H
Bar Caffe;Perugia;Via Settevalli, 215;075 545 6611;09:30 - 13:00, 14:30 - 19:30;09:30 - 13:00, 14:30 - 19:30;09:30 - 13:00, 14:30 - 19:30;09:30 - 13:00, 14:30 - 19:30;09:30 - 13:00, 14:30 - 19:30;09:30 - 13:00, 14:30 - 19:30;
Omà lounge bar bakery house;Perugia;Via dei Priori, 81;075 545 3486;07:00 - 01:30;07:00 - 01:30;07:00 - 01:30;07:00 - 01:30;07:00 - 01:30;07:00 - 01:30;
CaffèZero;Perugia;Viale Enrico Berlinguer, 06;075 850 7147;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;07:00 - 22:00
Caffè Corretto;Perugia;Via XIV Settembre, 82;393 444 3513;06:30 - 19:00;06:30 - 19:00;06:30 - 20:00;06:30 - 23:00;24H;06:30 - 23:00;
Ciccio's Bar;Perugia;Via C. Colombo, 25;347 108 1712;06:00 - 13:00, 03:00 - 20:15, 21:15 - 00:00;06:00 - 13:00, 03:00 - 20:15, 21:15 - 00:00;06:00 - 13:00, 03:00 - 20:15, 21:15 - 00:00;06:00 - 13:00, 03:00 - 20:15, 21:15 - 00:00;06:00 - 13:00, 15:00 - 14:00;06:00 - 13:00, 15:00 - 14:00;
Tommi bar;Perugia;Via Arturo Checchi, 23;075 808 7219;17:00 - 02:00;08:00 - 02:00;08:00 - 02:00;08:00 - 02:00;08:00 - 02:00;09:30 - 02:00;18:00 - 00:00
Antica Latteria di Olmati F.& c. SAS;Perugia;Via Baglioni, 5;075 572 4124;07:00 - 13:00, 16:00 - 19:30;07:00 - 13:00, 16:00 - 19:30;07:00 - 13:00, 16:00 - 19:30;07:00 - 13:00, 16:00 - 19:30;07:00 - 13:00, 16:00 - 19:30;07:00 - 13:00, 16:00 - 19:30;
Il Caffè Di Roma;Perugia;Galleria Kennedy, 47;N/A;ND;ND;ND;ND;ND;ND;ND
Bar Aprile Sandy Cafe;Perugia;Via della Pallotta;N/A;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;07:30 - 12:30
Bar pippo - ploom reseller;Perugia;Via Pietro Soriano, 63/C;075 528 0293;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;
Bar Perugia 1 SNC di Cornicchia I. E C.;Perugia;Via Romeo Gallenga, 12;349 649 3855;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;08:00 - 12:30, 15:30 - 19:30;
INTERNATIONAL CAFE';Perugia;Via Sicilia, 51;353 382 4663;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;
Bar rossorubino;Perugia;Via Maria Alinda Bonacci Brunamonti, 45;N/A;08:00 - 01:00;08:00 - 01:00;08:00 - 00:00;08:00 - 01:00;08:00 - 01:00;08:00 - 02:00;02:00 - 23:00
Bar Mokambo;Perugia;Via dei Filosofi, 26;075 509 5952;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 14:00;
Bar Boccaccio di Giuseppe Brustenga;Perugia;Via Giovanni Boccaccio, 40;075 30432;07:00 - 22:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00
Bar Coffee Shop;Perugia;Via del Macello, 1;075 505 5573;07:00 - 13:00, 15:30 - 19:00;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00
