Nome;Comune;Indirizzo;Telefono;Lun;Mar;Mer;Gio;Ven;Sab;Dom
Caffè San Francesco - Sacrosanto;Città di Castello;Piazza Raffaello Sanzio, 2;075 372 5380;06:45 - 22:00;06:45 - 22:00;06:45 - 22:00;06:45 - 22:00;06:45 - 22:00;06:30 - 00:00;
Bar Tabaccheria 3 Bis;Città di Castello;Viale Vittorio Veneto, 20;075 855 4368;ND;ND;ND;ND;ND;ND;ND
Caffè Vittoria;Città di Castello;Via del Rialto, 3A;N/A;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00
La Dolce Vita Caffè;Città di Castello;Via Cortonese, 6;349 494 2461;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;06:00 - 20:00;
Bar Incontro Di Copciac Alina;Città di Castello;Corso Vittorio Emanuele, 14A;N/A;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;
Bar La Cima;Città di Castello;SR257;075 855 4401;07:30 - 20:00;07:30 - 20:00;;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00;07:30 - 20:00
Ploom Reseller-Bar-Tabacchi MariLù;Città di Castello;Viale Romagna, 20;N/A;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;05:00 - 21:00;
Caffe Belvedere;Città di Castello;Viale Palmiro Togliatti, 2;075 855 5499;08:00 - 20:30;08:00 - 20:30;08:00 - 20:30;08:00 - 20:30;08:00 - 20:30;08:00 - 20:30;08:00 - 13:00
Caffetteria Severi;Città di Castello;Viale Palmiro Togliatti, 13;075 855 6989;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00
Bar Didon;Città di Castello;Via Roma, 5;075 855 6825;06:30 - 22:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 23:30
Bar Della Posta;Città di Castello;Corso Camillo Benso Conte di Cavour, 5;075 855 6645;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;06:00 - 20:30;;06:00 - 20:30;07:30 - 20:00
caffetteria sportiva D.E.C.;Città di Castello;Piscine Comunali, Piscine Comunali;N/A;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 21:00;07:30 - 13:00
Bar Aperitivo;Città di Castello;Viale Romagna, 31;N/A;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 22:00;07:00 - 01:00;07:00 - 01:00;10:00 - 13:00, 17:00 - 22:00
Cobarì Lounge Bar;Città di Castello;Via Aldo Bologni, 94/d;N/A;;13:00 - 03:00;13:00 - 03:00;13:00 - 03:00;13:00 - 03:00;13:00 - 03:00;13:00 - 03:00
La Caina bar;Città di Castello;Via Antimo Marchesani, n.19;N/A;;;18:00 - 02:00;18:00 - 02:00;18:00 - 02:00;18:00 - 02:00;18:00 - 01:00
Artcafe’;Città di Castello;Corso Vittorio Emanuele, 31/b;347 077 4802;;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;07:00 - 00:00;15:00 - 00:00
Bar Boriosi;Città di Castello;Via Aspromonte Bucchi;N/A;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;
Bar Canalicchio;Città di Castello;Via Luigi Galvani, 11, San Secondo PG;075 857 8107;03:30 - 22:00;03:30 - 22:00;03:30 - 22:00;03:30 - 22:00;03:30 - 22:00;03:30 - 22:00;
Bar Alma;Città di Castello;Via S. Florido, 63;075 855 0170;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
La Sosta;Città di Castello;Viale Romagna, 71;N/A;ND;ND;ND;ND;ND;ND;ND
Bar delle Alpi;Città di Castello;Via Cadibona, 6;335 137 4052;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;06:00 - 02:00;08:00 - 02:00
Sirio;Città di Castello;Via Luigi Angelini, 10;075 852 1845;06:00 - 19:00;06:00 - 19:00;06:00 - 19:00;06:00 - 19:00;06:00 - 19:00;06:00 - 15:00;
Bar dello Sport di Volpi Gabriella;Città di Castello;Viale Enrico Fermi, 9;075 857 8824;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30;06:00 - 22:30
Bar Millefiori;Città di Castello;Viale Raffaele de Cesare, 17;075 852 0682;;07:00 - 14:00, 16:00 - 23:00;07:00 - 14:00, 16:00 - 23:00;07:00 - 14:00, 16:00 - 23:00;07:00 - 14:00, 16:00 - 23:00;07:00 - 14:00, 16:00 - 23:00;07:00 - 14:00, 16:00 - 23:00
Green Bar;Città di Castello;Piazzale Ferri, SNC;N/A;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;08:00 - 21:00
Bar Lanzi;Città di Castello;Via Nove Martiri, 2, Badia Petroia PG;075 857 4142;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;05:00 - 23:00;06:00 - 23:00
Vini.Ca;Città di Castello;P.zza Venanzio Gabriotti, 12;338 682 5911;;06:00 - 23:00;06:00 - 23:00;17:00 - 02:00;17:00 - 03:00;17:00 - 03:30;05:00 - 23:00
Bar Cin Cin di Steluta Jitca;Città di Castello;Corso Vittorio Emanuele, 15/B;N/A;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;
Bar Montecristo di Pennacchi Carla;Collazzone;Piazza Umberto I, 1;075 870 1252;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 13:00
Bar Gallery;Collazzone;Via dell'Osteria, 82, Collepepe PG;329 674 6289;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00;04:30 - 22:00
Bar Caffetteria La Belle Vie;Corciano;Via Antonio Gramsci, 1;075 518 1551;;05:00 - 02:00;05:00 - 02:00;05:00 - 02:00;05:00 - 02:00;05:00 - 02:00;05:00 - 02:00
Oro Nero Cafè;Corciano;Ellera;075 720 0212;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Cafelab;Corciano;Via Aldo Moro, 18;351 706 5172;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 00:00;08:30 - 00:00;
Bar Taverne;Corciano;Via Palmiro Togliatti, 111, Taverne di;075 697 8311;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;
Bar Centrale;Corciano;Via Leonardo Da Vinci, 84;N/A;;07:30 - 13:00, 15:00 - 21:00;07:30 - 13:00, 15:00 - 21:00;07:30 - 13:00, 15:00 - 21:00;07:30 - 13:00, 16:00 - 22:00;07:30 - 13:00, 15:00 - 21:00;08:00 - 16:00
Bar dei Mercati;Corciano;Via Palmiro Togliatti, 56, Taverne di;075 697 9058;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;
Bar Desirée;Corciano;Via Antonio Gramsci, 8, Chiugiana PG;075 372 1110;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;06:00 - 21:00;
Bar Mirage SNC di Fastellini M. E Valentini M.;Corciano;Via Antonio Gramsci, 136;379 110 7574;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 13:00;
Bar del Corso;Costacciaro;Corso G. Mazzini, 21;075 917 0782;08:00 - 12:00, 15:00 - 19:00;08:00 - 12:00, 15:00 - 19:00;08:00 - 12:00, 15:00 - 19:00;08:00 - 12:00, 15:00 - 19:00;08:00 - 12:00, 15:00 - 19:00;08:00 - 12:00, 15:00 - 19:00;
Caffè dei Consoli;Deruta;Piazza dei Consoli, 21;075 972 4423;07:30 - 19:30;07:30 - 19:30;02:00 - 19:30;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30;07:30 - 19:30
Bar Tiberino;Deruta;Via Tiberina, 179;392 682 7276;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;05:30 - 23:00;06:30 - 23:00
Caffè Dell Arte;Deruta;Via del mosaico, 9;N/A;06:30 - 21:30;07:00 - 22:30;06:30 - 21:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30;07:00 - 22:30
IQOS PARTNER - Caffè del Fiume, Foligno;Foligno;Viale XVI Giugno, 26 A;0742 20262;;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30;07:00 - 19:30
Caffè Umbria;Foligno;Viale Luigi Chiavellati, 8/C;0742 482655;05:45 - 21:00;05:45 - 21:00;05:45 - 21:00;05:45 - 21:00;05:45 - 21:00;05:45 - 21:00;
Antica Pasticceria Muzzi;Foligno;Viale Roma, 38;0742 340380;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 13:30, 15:30 - 20:00
Barlume Cafè e Bistrot;Foligno;Piazza XX Settembre, 12;392 313 9540;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;07:00 - 20:00;08:00 - 21:00;
Friends caffè;Foligno;Viale Roma, 27;0742 718283;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00;06:00 - 22:00
Ploom reseller-Coffee Paradise di Pennacchi Tania;Foligno;Via Alessandro Volta, 46A;0742 352915;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;05:00 - 20:00;
IQOS PARTNER - Bar Tabacchi Caffe Roma, Foligno;Foligno;Via Spoleto, 28;0742 391050;05:30 - 21:00;;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 20:30
Bar Pasticceria Fratelli Frontani;Foligno;Viale Roma, 2;N/A;04:00 - 13:00;04:00 - 18:00;04:00 - 18:00;04:00 - 18:00;04:00 - 18:00;04:00 - 18:00;04:00 - 18:00
CASUALITÀ PASTRY SHOP - Pasticceria - Bar;Foligno;Via Umberto I, 62;N/A;07:00 - 14:00, 16:15 - 20:00;07:00 - 14:00, 16:15 - 20:00;07:00 - 14:00, 16:15 - 20:00;07:00 - 14:00, 16:15 - 20:00;07:00 - 14:00, 16:15 - 20:00;07:00 - 14:00, 16:15 - 20:00;
Bar dell’ angolo;Foligno;Piazza del Grano;N/A;07:00 - 21:00;07:00 - 21:00;07:00 - 21:00;07:00 - 01:00;07:00 - 01:00;07:00 - 01:00;
Il Caffe Delle Logge - la yogurteria- bar gelateria;Foligno;Corso Camillo Benso Conte di Cavour, 61;0742 350584;;08:00 - 20:00;08:00 - 20:00;08:00 - 20:00;08:00 - 20:00;08:00 - 00:00;03:30 - 20:00
CAFFÈ LOUVIERE;Foligno;Via la Louviére, 4a/4b;0742 850030;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;05:30 - 21:00;06:00 - 12:30;
Infinity Bar;Foligno;Via Santocchia;328 467 4098;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;05:00 - 00:00;07:00 - 00:00;07:00 - 23:30
Bar Crema;Foligno;Via Bevagna, 11, Fiamenga PG;0742 23410;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00;06:00 - 23:00
Caffè Planet;Foligno;Via Massimo Arcamone;0742 326382;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00;06:00 - 00:00
Ploom reseller-Bar tabacchi Lupo;Foligno;Via Goffredo Mameli, 77;0742 21528;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;05:30 - 20:00;06:00 - 13:00
Bar Smile Foligno;Foligno;Viale Cesare Battisti, 22;N/A;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;06:30 - 20:00;;
Bar Sonno;Foligno;Via G. Ferrero, 75;0742 359124;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 22:00;05:00 - 02:00;05:00 - 02:00;05:00 - 13:00
Bar Duomo;Foligno;Largo Giosuè Carducci, 22;370 372 3821;07:30 - 13:15, 16:00 - 22:30;;07:30 - 13:15, 16:00 - 22:30;07:30 - 13:15, 16:00 - 22:30;07:30 - 13:15, 16:00 - 22:30;08:00 - 13:30, 16:00 - 00:00;08:00 - 13:15, 16:00 - 23:00
